ATA ,"CRJ
700",CRJ 900,"CRJ
1000","MDC 
B1-Code ",LRU,Msg type,Phase logged,EICAS / FDE,MDC Msg,FIM Task Reference,In-Service BA document,Title,Known nuisance,Remarks
21,Y,Y,Y,B1-006415,DISP FAN2,Fault,"AIR, TAXI",DISPLAY COOL (C)  ,"LOW FAN SPEED
(DISP FAN2)",21−24−12−810−802,None,,N,"Crosscheck with PIREPS / EICAS
Follow FIM"
21,Y,Y,Y,B1-006902,GLFAN,Service,"AIR, TAXI",NIL,"LOW FAN SPEED
(GALLEY FAN)",21−23−93−810−801 ,CRJ700/900-SL-21-026,"Cleaning Procedure of Galley-Lavatory Exahust Fan, P/N GG67095028 and ducts",N,"FAN cleaning best practice 
Possible Blockage / FAN speed ≤ 60% 
Future: (WIP) filter to avoid dust getting into the fan"
21,Y,Y,Y,B1-007306,LVFAN,Service,"AIR, TAXI",NIL,"LOW FAN SPEED
(LAVATORY FAN)",21−23−93−810−802,CRJ700/900-SL-21-026,"Cleaning Procedure of Galley-Lavatory Exahust Fan, P/N GG67095028 and ducts",N,"FAN cleaning best practice 
Possible Blockage / FAN speed ≤ 60% 
Future: (WIP) filter to avoid dust getting into the fan"
21,Y,Y,Y,B1-007677,RFAN1,Fault,"AIR, TAXI",RECIRC FAN FAULT (S),"LOW FAN SPEED
(RECIRC FAN1)",21−22−10−810−801,ISAR 2014-02,Troubleshooting for RECIRC FAN FAULT Status Message: Possible Blockage,N,Possible Blockage / FAN speed ≤ 60%
21,Y,Y,Y,B1-007678,RFAN2,Fault,"AIR, TAXI",RECIRC FAN FAULT (S),"LOW FAN SPEED
(RECIRC FAN2)",21−22−10−810−802,CRJ700/900-SL-21-023,Guidance for Operation of the Recirculation Fan,N,Liebherr SIL LSGG670-95021-21-02
21,Y,Y,Y,B1-006928,HOT AIR SOV1 ,Fault,"AIR, TAXI",L PACK FAULT (S),"NO RESPONSE TO CMD
(HSOV1)",21−61−08−810−801,None,,N,"Crosscheck with PIREPS / EICAS
Follow FIM"
21,Y,Y,Y,B1-006929,HOT AIR SOV2,Fault,"AIR, TAXI",R PACK FAULT (S),"NO RESPONSE TO CMD
(HSOV2)",21−61−08−810−802,None,,N,"Crosscheck with PIREPS / EICAS
Follow FIM"
21,Y,Y,Y,B1-005821 ,ACSC1,Service,"AIR, TAXI",NIL,"NO LA-IOC-6 BUS INPUT 
(ACSC1)",21−61−04−810−810,CRJ700/900-SL-21-027,Air Condition System Controller ARINC 429 Receiver,N,"Troubleshooting tips

Liebherr recommends software upgrade to PN GG690-95026-5 before sending ACSC for repair."
21,Y,Y,Y,B1-005822,ACSC1,Service,"AIR, TAXI",NIL,"NO LB-IOC-6 BUS INPUT
(ACSC1)",21−61−04−810−811,CRJ700/900-SL-21-027,Air Condition System Controller ARINC 429 Receiver,N,"Troubleshooting tips

Liebherr recommends software upgrade to PN GG690-95026-5 before sending ACSC for repair."
21,Y,Y,Y,B1-005823,ACSC1,Service,"AIR, TAXI",NIL,"NO RA-IOC-6 BUS INPUT
(ACSC1)",21−61−04−810−812,CRJ700/900-SL-21-027,Air Condition System Controller ARINC 429 Receiver,N,"Troubleshooting tips

Liebherr recommends software upgrade to PN GG690-95026-5 before sending ACSC for repair."
21,Y,Y,Y,B1-005824,ACSC1,Service,"AIR, TAXI",NIL,"NO RB-IOC-6 BUS INPUT
(ACSC1)",21−61−04−810−813,CRJ700/900-SL-21-027,Air Condition System Controller ARINC 429 Receiver,N,"Troubleshooting tips

Liebherr recommends software upgrade to PN GG690-95026-5 before sending ACSC for repair."
21,Y,Y,Y,B1-005837,ACSC2,Service,"AIR, TAXI",NIL,"NO LA-IOC-6 BUS INPUT
(ACSC2)",21−61−04−810−826,CRJ700/900-SL-21-027,Air Condition System Controller ARINC 429 Receiver,N,"Troubleshooting tips

Liebherr recommends software upgrade to PN GG690-95026-5 before sending ACSC for repair."
21,Y,Y,Y,B1-005838,ACSC2,Service,"AIR, TAXI",NIL,"NO LB-IOC-6 BUS INPUT 
(ACSC2)",21−61−04−810−827,CRJ700/900-SL-21-027,Air Condition System Controller ARINC 429 Receiver,N,"Troubleshooting tips

Liebherr recommends software upgrade to PN GG690-95026-5 before sending ACSC for repair."
21,Y,Y,Y,B1-005839,ACSC2,Service,"AIR, TAXI",NIL,"NO RA-IOC-6 BUS INPUT
(ACSC2)",21−61−04−810−828,CRJ700/900-SL-21-027,Air Condition System Controller ARINC 429 Receiver,N,"Troubleshooting tips

Liebherr recommends software upgrade to PN GG690-95026-5 before sending ACSC for repair."
21,Y,Y,Y,B1-005840,ACSC2,Service,"AIR, TAXI",NIL,"NO RB-IOC-6 BUS INPUT
(ACSC2)",21−61−04−810−829,CRJ700/900-SL-21-027,Air Condition System Controller ARINC 429 Receiver,N,"Troubleshooting tips

Liebherr recommends software upgrade to PN GG690-95026-5 before sending ACSC for repair."
21,Y,Y,Y,B1-007532,PK1 INLET XDCR,Fault,"AIR, TAXI","L ENG BLEED SNSR (S)
PACK CYCLING ","NO SIGNAL/OUT OF RANGE
(PK1 INLET XDCR)",21−53−10−810−801,CRJ700/900-SL-21-031,Pack Cycling,N,Troubleshooting tips / Crosscheck with PIREPS 
21,Y,Y,Y,B1-007544,PK2 INLET XDCR,Fault,"AIR, TAXI","R ENG BLEED SNSR (S)
PACK CYCLING ","NO SIGNAL/OUT OF RANGE
(PK2 INLET XDCR)",21−53−10−810−803,CRJ700/900-SL-21-031,Pack Cycling,N,Troubleshooting tips / Crosscheck with PIREPS 
22,Y,Y,Y,B1-144866,CSU1/CSU2,Fault,AIR,NIL,CSU 1 / CSU 2 MISCOMPARE,22−12−21−810−803,None,,Y,"MDC checks CSU strap only at MDC pwr-up. 
If no Mod or CSU change has been recently done, ignore MDC msg. 
From MDT Equ Descr section:
Problem may be caused by the IOC pwr-up sequence confusing the MDC. First recycle pwr on MDC before T/S CSU's or IOC's. If persists recycle pwr on all IOC's. If persists verify CSU's match on MDC configuration page."
22,Y,Y,Y,B1-006949,IOC1A,Fault,"AIR, TAXI",NIL,INTERNAL FAULT,22−12−03−810−802,None,,Y,"IOC generates a continues bit to check itself, at 3rd not successful attempt flags MDC msg, but continues trying.
Crosscheck with PIREPS"
22,Y,Y,Y,B1-006954,IOC1A,Fault,"AIR, TAXI",NIL,NO LA-IOC-1 BUS OUTPUT ,22−12−03−810−807,None,,N,MFD / PFD / Follow FIM / subsequent loss of another bus will cause evident loss of data on displays
22,Y,Y,Y,B1-006989,IOC1B,Fault,"AIR, TAXI",NIL,NO LB-IOC-1 BUS OUTPUT ,22−12−04−810−807,None,,N,MFD / PFD / Follow FIM / subsequent loss of another bus will cause evident loss of data on displays
22,Y,Y,Y,B1-007008,IOC1B,Fault,"AIR, TAXI",NIL,NO L-ED-1 BUS INPUT ,22−12−04−810−819,None,,N,Crosscheck with PIREPS related to ED1 / Follow FIM
22,Y,Y,Y,B1-007068,IOC2B,Fault,"AIR, TAXI",NIL,NO RB-GP-2 BUS OUTPUT,22−12−06−810−811,None,,N, RTU / Follow FIM / subsequent loss of another bus will have a flt deck effect 
22,Y,Y,Y,B1-344899,IOC1B,Fault,"AIR, TAXI",NIL,NO LB-GP-3 BUS TO GPS ,22−12−04−810−845,None,,N,Crosscheck with PIREPS related to FMS or GPS/ Follow FIM
22,Y,Y,Y,B1-344902,IOC2B,Fault,"AIR, TAXI",NIL,NO RB-GP-3 BUS TO GPS ,22−12−06−810−841,None,,N,Crosscheck with PIREPS related to FMS or GPS/ Follow FIM
22,Y,Y,Y,B1-007120,IEC1,Fault,"AIR, TAXI",NIL,FAN / ICC SENSOR ,22−12−02−810−801,None,,N,Follow FIM
22,Y,Y,Y,B1-006674,FCC1,Fault,"AIR, TAXI",NIL,NO L-IRS-1 BUS INPUT,22−12−14−810−807 ,None,,Y,"System message when IRS not aligned, cross check with PIREPS "
22,Y,Y,Y,B1-245108,FCC1,Fault,"AIR, TAXI",NIL,,,None,,Y,"System message when IRS not aligned, cross check with PIREPS "
22,Y,Y,Y,B1-006687,FCC2,Fault,"AIR, TAXI",NIL,NO R−IRS−1 BUS INPUT,22−12−14−810−820,None,,Y,"System message when IRS not aligned, cross check with PIREPS "
22,Y,Y,Y,B1-245114,FCC2,Fault,"AIR, TAXI",NIL,,,None,,Y,"System message when IRS not aligned, cross check with PIREPS "
22,Y,Y,Y,B1-272769,FCC1,Fault,"AIR, TAXI",NIL,NO L−AHC−1 BUS INPUT,22−12−14−810−806,None,,Y,"System message, cross check with PIREPS & EICAS"
22,Y,Y,Y,B1-246748,FCC1,Fault,"AIR, TAXI",NIL,,,None,,Y,"System message, cross check with PIREPS & EICAS"
22,Y,Y,Y,B1-006673,FCC1,Fault,"AIR, TAXI",NIL,NO L−AHC−1 BUS INPUT,,None,,Y,"System message, cross check with PIREPS & EICAS"
22,Y,Y,Y,B1-245107,FCC1,Fault,"AIR, TAXI",NIL,,,None,,Y,"System message, cross check with PIREPS & EICAS"
22,Y,Y,Y,B1-245113,FCC2,Fault,"AIR, TAXI",NIL,NO R−AHC−1 BUS INPUT,22−12−14−810−819 ,None,,Y,"System message, cross check with PIREPS & EICAS"
22,Y,Y,Y,B1-006686,FCC2,Fault,"AIR, TAXI",NIL,,,None,,Y,"System message, cross check with PIREPS & EICAS"
22,Y,Y,Y,B1-272774,FCC2,Fault,"AIR, TAXI",NIL,NO R−AHC−1 BUS INPUT,,None,,Y,"System message, cross check with PIREPS & EICAS"
22,Y,Y,Y,B1-246705,FCC2,Fault,"AIR, TAXI",NIL,,,None,,Y,"System message, cross check with PIREPS & EICAS"
23,Y,Y,Y,B1-039733,L HF,Fault,"AIR, TAXI",No L HF radio received,NO OUTPUT/NO BUS TO IOC,23-12-00-810-803,None,,Y,Crosscheck with PIREPS / Follow FIM
23,Y,Y,Y,B1-039314,R HF,Fault,"AIR, TAXI",No R HF radio received,NO OUTPUT/NO BUS TO IOC,23−12−00−810−809,None,,Y,Crosscheck with PIREPS / Follow FIM
23,Y,Y,Y,B1-039709,R HF,Fault,"AIR, TAXI",No R HF radio received,INTERNAL FAULT,23−12−00−810−810,None,,N,Crosscheck with PIREPS / Follow FIM
23,Y,Y,Y,B1-039705,R HF,Fault,"AIR, TAXI",HF Radio not tuning from RTU2,NO R-RTU-2 BUS INPUT,23−12−00−810−811,None,,N,Crosscheck with PIREPS / Follow FIM
23,Y,Y,Y,B1-005793,ACARS,Fault,"AIR, TAXI",FMS CDU: ACARS NO COMM,ACARS FAIL,23−22−00−810−816,None,,N,Crosscheck with PIREPS / Follow FIM
23,Y,Y,Y,B1-113157,ACARS,Fault,"AIR, TAXI","FMS CDU: “SYSTEM NOT
AVAILABLE” or “FMS FAULT""",FMS 1 INPUT INACTIVE,23−22−00−810−813,None,,N,Crosscheck with PIREPS / Follow FIM
23,Y,Y,Y,B1-113161,ACARS,Fault,"AIR, TAXI",,FMS 2 INPUT INACTIVE,23−22−00−810−814,None,,N,Crosscheck with PIREPS / Follow FIM
24,Y,Y,Y,B1-006886,GCU1,Fault,"AIR, TAXI, GND",NIL,GCU SERVICE REQUIRED ,24−21−01−810−818,KSIS UTAS presentation 2014,Pack Cycling,Y,Nuisance / Ignore msg
24,Y,Y,Y,B1-006896,GCU2,Fault,"AIR, TAXI, GND",NIL,GCU SERVICE REQUIRED ,24−21−01−810−819,KSIS UTAS presentation 2014,Pack Cycling,Y,Nuisance / Ignore msg
24,Y,Y,Y,B1-006884,GCU1,Fault,"AIR, TAXI, GND","AC BUS 1 (C) 
(If EXT AC is the only AC pwr source)",NO EXT AC PR SIGNAL,24−21−01−810−807,None,,N,"Crosscheck with EICAS
Follow FIM"
24,Y,Y,Y,B1-006893,GCU2,Fault,"AIR, TAXI, GND","AC BUS 2 (C) 
(If EXT AC is the only AC pwr source)",NO EXT AC PR SIGNAL,24−21−01−810−815,None,,N,"Crosscheck with EICAS
Follow FIM"
24,Y,Y,Y,B1-007096,IDG1,Fault,"AIR, TAXI",GEN 1 OFF (C) ,"INTERNAL FAULT
(IDG1)",24−11−01−810−802,None,,N,Troubleshooting tips
24,Y,Y,Y,B1-007108,IDG2,Fault,"AIR, TAXI",GEN 2 OFF (C) ,"INTERNAL FAULT
(IDG2)",24−11−01−810−807,None,,N,Troubleshooting tips
24,Y,Y,Y,B1-007102,IDG1,Fault,"AIR, TAXI, GND",GEN 1 OFF (C) ,OPEN PHASE FAULT,24−11−01−810−815,ISAR 2014-10,GEN 1 (2) OFF EICAS Caution Message Caused by IDG Power Cables,N,Troubleshooting tips
24,Y,Y,Y,B1-007114,IDG2,Fault,"AIR, TAXI, GND",GEN 2 OFF (C) ,OPEN PHASE FAULT,24−11−01−810−822,ISAR 2014-10,GEN 1 (2) OFF EICAS Caution Message Caused by IDG Power Cables,N,Troubleshooting tips
24,Y,Y,Y,B1-005891,ADG GCU,Fault,"AIR, TAXI, GND",ADG FAIL (S),"INTERNAL FAULT
(ADG GCU)",24−23−05−810−801 ,RIL #2255,One Operator requests a reset procedure of ADG FAIL Status message,Y,"FIM INTRO  Intermittent  List
RIL Reset procedure"
24,Y,Y,Y,B1-008228,TRU1,Fault,"AIR, TAXI, GND",TRU FAN FAIL ( S ) ,"FAN/OVERHEAT SW
(TRU1)",24−31−01−810−801,None,,N,FIM INTRO  Intermittent  List
24,Y,Y,Y,B1-008229,TRU2,Fault,"AIR, TAXI, GND",TRU FAN FAIL ( S ) ,"FAN/OVERHEAT SW
(TRU2)",24−31−01−810−802,None,,N,FIM INTRO  Intermittent  List
26,Y,Y,Y,B1-008368,"HRD AFT
SQUIB",Service,"AIR, TAXI",NIL,BRIDGEWIRE 1 OPEN,26−25−04−810−802,None,,N,Follow FIM
26,Y,Y,Y,B1-008369,"HRD AFT
SQUIB",Service,"AIR, TAXI",NIL,BRIDGEWIRE 2 OPEN,26-25-04-810-803,None,,N,Follow FIM
26,Y,Y,Y,B1-008371,"HRD FWD
SQUIB",Service,"AIR, TAXI",NIL,BRIDGEWIRE 1 OPEN,26−25−04−810−805,None,,N,Follow FIM
26,Y,Y,Y,B1-008372,"HRD FWD
SQUIB",Service,"AIR, TAXI",NIL,BRIDGEWIRE 2 OPEN,26−25−04−810−806,None,,N,Follow FIM
26,Y,Y,Y,B1-008374,"LRD AFT
SQUIB",Service,"AIR, TAXI",NIL,BRIDGEWIRE 1 OPEN,26−25−04−810−808,None,,N,Follow FIM
26,Y,Y,Y,B1-008375,"LRD AFT
SQUIB",Service,"AIR, TAXI",NIL,BRIDGEWIRE 2 OPEN,26−25−04−810−809,None,,N,Follow FIM
26,Y,Y,Y,B1-008383,"LRD FWD
SQUIB",Service,"AIR, TAXI",NIL,BRIDGEWIRE 1 OPEN,26−25−04−810−811,None,,N,Follow FIM
26,Y,Y,Y,B1-008384,"LRD FWD
SQUIB",Service,"AIR, TAXI",NIL,BRIDGEWIRE 2 OPEN,26−25−04−810−812,None,,N,Follow FIM
26,Y,Y,Y,B1-008377,L ENG BTL1 SQUIB,Service,"AIR, TAXI",NIL,BRIDGEWIRE 1 OPEN,26−21−10−810−802,None,,N,Follow FIM
26,Y,Y,Y,B1-008378,L ENG BTL1 SQUIB,Service,"AIR, TAXI",NIL,BRIDGEWIRE 2 OPEN,26−21−10−810−803,None,,N,Follow FIM
26,Y,Y,Y,B1-008380,L ENG BTL2 SQUIB,Service,"AIR, TAXI",NIL,BRIDGEWIRE 1 OPEN,26−21−10−810−805,None,,N,Follow FIM
26,Y,Y,Y,B1-008381,L ENG BTL2 SQUIB,Service,"AIR, TAXI",NIL,BRIDGEWIRE 2 OPEN,26−21−10−810−806,None,,N,Follow FIM
26,Y,Y,Y,B1-008386,R ENG BTL1 SQUIB,Service,"AIR, TAXI",NIL,BRIDGEWIRE 1 OPEN,26−21−10−810−808,None,,N,Follow FIM
26,Y,Y,Y,B1-008387,R ENG BTL1 SQUIB,Service,"AIR, TAXI",NIL,BRIDGEWIRE 2 OPEN,26−21−10−810−809,None,,N,Follow FIM
26,Y,Y,Y,B1-008389,R ENG BTL2 SQUIB,Service,"AIR, TAXI",NIL,BRIDGEWIRE 1 OPEN,26−21−10−810−811,None,,N,Follow FIM
26,Y,Y,Y,B1-008390,R ENG BTL2 SQUIB,Service,"AIR, TAXI",NIL,BRIDGEWIRE 2 OPEN,26−21−10−810−812,None,,N,Follow FIM
26,Y,Y,Y,B1-008344,APU SQUIB ,Service,"AIR, TAXI",NIL,BRIDGEWIRE 1 OPEN,26−22−10−810−802,None,,N,Follow FIM
26,Y,Y,Y,B1-008345,APU SQUIB ,Service,"AIR, TAXI",NIL,BRIDGEWIRE 2 OPEN,26−22−10−810−803,None,,N,Follow FIM
26,Y,Y,Y,B1-008343,APU SQUIB,Fault,"AIR, TAXI",APU SQUIB (AMBER),BOTH BRIDGEWIRES OPEN,26−22−10−810−801,None,,N,"
Crosscheck with EICAS / Follow FIM"
26,Y,Y,Y,B1-008370,"HRD FWD
SQUIB",Fault,"AIR, TAXI",FWD CARGO SQB1 (C) ,BOTH BRIDGEWIRES OPEN,26−25−04−810−804,None,,N,"
Crosscheck with EICAS / Follow FIM"
26,Y,Y,Y,B1-008382,LRD FWD SQUIB,Fault,"AIR, TAXI",FWD CARGO SQB1 (C) ,BOTH BRIDGEWIRES OPEN,26−25−04−810−810,None,,N,"
Crosscheck with EICAS / Follow FIM"
26,Y,Y,Y,B1-008367,"HRD AFT
SQUIB",Fault,"AIR, TAXI",AFT CARGO SQB1 (C) ,BOTH BRIDGEWIRES OPEN,26−25−04−810−801,None,,N,"
Crosscheck with EICAS / Follow FIM"
26,Y,Y,Y,B1-008373,"LRD AFT
SQUIB",Fault,"AIR, TAXI",AFT CARGO SQB1 (C) ,BOTH BRIDGEWIRES OPEN,26−25−04−810−807,None,,N,"
Crosscheck with EICAS / Follow FIM"
26,Y,Y,Y,B1-008376,L ENG BTL1 SQUIB,Fault,"AIR, TAXI",L ENG SQUIB (S) and (C) ,BOTH BRIDGEWIRES OPEN,26−21−10−810−801 ,None,,N,"
Crosscheck with EICAS / Follow FIM"
26,Y,Y,Y,B1-008379,L ENG BTL2 SQUIB,Fault,"AIR, TAXI",L ENG SQUIB (S) and (C) ,BOTH BRIDGEWIRES OPEN,26−21−10−810−801,None,,N,"
Crosscheck with EICAS / Follow FIM"
26,Y,Y,Y,B1-008385,R ENG BTL1 SQUIB,Fault,"AIR, TAXI",R ENG SQUIB (S) and (C) ,BOTH BRIDGEWIRES OPEN,26−21−10−810−807,None,,N,"
Crosscheck with EICAS / Follow FIM"
26,Y,Y,Y,B1-008388,R ENG BTL2 SQUIB,Fault,"AIR, TAXI",R ENG SQUIB (S) and (C) ,BOTH BRIDGEWIRES OPEN,26−21−10−810−810,None,,N,"
Crosscheck with EICAS / Follow FIM"
26,Y,Y,Y,B1-008342,APU BTL,Fault,"AIR, TAXI",APU BTL LO (C) ,LOW PRESSURE DETECTED,26−22−07−810−801,None,,N,"
Crosscheck with EICAS / Follow FIM"
26,Y,Y,Y,B1-008350,"CARGO HRD
BTL",Fault,"AIR, TAXI",CARGO BTL LO (C) ,LOW PRESSURE DETECTED,26−25−01−810−801,None,,N,"
Crosscheck with EICAS / Follow FIM"
26,Y,Y,Y,B1-008351,"CARGO LRD
BTL",Fault,"AIR, TAXI",CARGO BTL LO (C) ,LOW PRESSURE DETECTED,26−25−01−810−802 ,None,,N,"
Crosscheck with EICAS / Follow FIM"
26,Y,Y,Y,B1-008360,ENG BTL1,Fault,"AIR, TAXI",ENG BTL 1 LO (C) ,LOW PRESSURE DETECTED,26−21−07−810−801,None,,N,"
Crosscheck with EICAS / Follow FIM"
26,Y,Y,Y,B1-008361,ENG BTL2,Fault,"AIR, TAXI",ENG BTL 2 LO (C) ,LOW PRESSURE DETECTED,26−21−07−810−802,None,,N,"
Crosscheck with EICAS / Follow FIM"
27,Y,Y,Y,B1-008026,SSCU1,Fault,"AIR, TAXI",RUD LIMIT FAULT (S) or SPLR/STAB FAULT (S),NO SFECU1-F BUS/DI INPUT ,27−61−05−810−841,CRJ700/900-SL-27-049,One Operator requests a reset procedure of ADG FAIL Status message,N,"Service letter cancelled. It was included in FIM Rev 40.
Crosscheck with EICAS / Follow FIM"
27,Y,Y,Y,B1-060114,SSCU1,Fault,"AIR, TAXI",,NO SFECU2-S BUS INPUT,27−61−05−810−845 ,CRJ700/900-SL-27-049,One Operator requests a reset procedure of ADG FAIL Status message,N,"Service letter cancelled. It was included in FIM Rev 40.
Crosscheck with EICAS / Follow FIM"
27,Y,Y,Y,B1-008070,SSCU2,Fault,"AIR, TAXI",RUD LIMIT FAULT (S) or SPLR/STAB FAULT (S),NO SFECU2-F BUS/DI INPUT,27−61−06−810−841,CRJ700/900-SL-27-049,One Operator requests a reset procedure of ADG FAIL Status message,N,"Service letter cancelled. It was included in FIM Rev 40.
Crosscheck with EICAS / Follow FIM"
27,Y,Y,Y,B1-060206,SSCU2,Fault,"AIR, TAXI",,NO SFECU1-S BUS INPUT ,27−61−06−810−845,CRJ700/900-SL-27-049,One Operator requests a reset procedure of ADG FAIL Status message,N,"Service letter cancelled. It was included in FIM Rev 40.
Crosscheck with EICAS / Follow FIM"
27,Y,Y,Y,B1-008027,SSCU1,Fault,"AIR, TAXI",SSCU 1 FAULT (S),CPOST/SPOST1 NOT RUN,27−61−05−810−842 ,CRJ700/900-SL-27-078,One Operator requests a reset procedure of ADG FAIL Status message,Y,"Service letter cancelled. It was included in FIM Rev 40. Also AMM task for SSCU installation has been revised.
Crosscheck with EICAS / Follow FIM"
27,Y,Y,Y,B1-232245,SSCU1,Fault,"AIR, TAXI",,SPOST2 NOT RUN ,27−61−05−810−878,CRJ700/900-SL-27-078,One Operator requests a reset procedure of ADG FAIL Status message,Y,"Service letter cancelled. It was included in FIM Rev 40. Also AMM task for SSCU installation has been revised.
Crosscheck with EICAS / Follow FIM"
27,Y,Y,Y,B1-008071,SSCU2,Fault,"AIR, TAXI",SSCU 2 FAULT (S),CPOST/SPOST1 NOT RUN ,27−61−06−810−877 ,CRJ700/900-SL-27-078,One Operator requests a reset procedure of ADG FAIL Status message,Y,"Service letter cancelled. It was included in FIM Rev 40. Also AMM task for SSCU installation has been revised.
Crosscheck with EICAS / Follow FIM"
27,Y,Y,Y,B1-232247,SSCU2,Fault,"AIR, TAXI",,SPOST2 NOT RUN ,27−61−06−810−878,CRJ700/900-SL-27-078,One Operator requests a reset procedure of ADG FAIL Status message,Y,"Service letter cancelled. It was included in FIM Rev 40. Also AMM task for SSCU installation has been revised.
Crosscheck with EICAS / Follow FIM"
27,Y,Y,Y,B1-008016,SSCU1,Fault,"AIR, TAXI","GLD UNSAFE (C) or 
SPLR/STAB FAULT (S)",RAD ALT RANGE FAULT,27−61−05−810−831,CRJ700/900-FON-34-004 ,"GLD UNSAFE Caution message on the ground
Radion Altimeter System: New Antenna Certified",N,"System message, cross check with PIREPS "
27,Y,Y,Y,B1-008060,SSCU2,Fault,"AIR, TAXI",,,27−61−06−810−831 ,ISAR 2016-01,"GLD UNSAFE Caution message on the ground
Radion Altimeter System: New Antenna Certified",N,"System message, cross check with PIREPS "
27,Y,Y,Y,B1-008001,SSCU1,Fault,"AIR, TAXI",NIL,NO LA-SSCM OUTPUT TO DCU ,27−61−05−810−843,None,,N,"System message, cross check with PIREPS "
27,Y,Y,Y,B1-008043,SSCU2,Fault,"AIR, TAXI",NIL,NO RA-SSCM OUTPUT TO DCU ,27−61−06−810−843,None,,N,"System message, cross check with PIREPS "
27,Y,Y,Y,B1-348660,SSCU1,Fault,"AIR, TAXI",SPLR/STAB FAULT (S),NO L-IRS BUS INPUT,27−61−05−810−882,None,,N,"System message, cross check with PIREPS & EICAS. Should be addressed in FIM Rev 40. "
27,Y,Y,Y,B1-348681,SSCU2,Fault,"AIR, TAXI",SPLR/STAB FAULT (S),NO R-IRS BUS INPUT,27−61−06−810−882,None,,N,"System message, cross check with PIREPS & EICAS. Should be addressed in FIM Rev 40. "
27,Y,Y,Y,B1-007909,L IB MFS PCU ,Fault,"AIR, TAXI","IB SPOILERON (C) or 
IB FLT SPLRS (C) ",EHSV BIAS SHIFT,27−64−01−810−806,None,,N,Cross check with PIREPS & EICAS 
27,Y,Y,Y,B1-007905,L IB MFS PCU,Fault,"AIR, TAXI","IB SPOILERON (C) and 
IB FLT SPLRS (C) ",PCU JAM,27−64−01−810−802,CRJ700/900-SL-27-086,Multi-Function Spoiler PCU P/N 51200-11 guidance,N,Reset procedure and Troubleshooting tips
27,Y,Y,Y,B1-007906,L IB MFS PCU,Fault,"AIR, TAXI","IB SPOILERON (C) and 
IB FLT SPLRS (C) ",PCU RUNAWAY,27−64−01−810−803,CRJ700/900-SL-27-086,Multi-Function Spoiler PCU P/N 51200-11 guidance,N,Reset procedure and Troubleshooting tips
27,Y,Y,Y,B1-007910,R IB MFS PCU ,Fault,"AIR, TAXI","IB SPOILERON (C) and
IB FLT SPLRS (C) ",PCU JAM,27−64−01−810−812,CRJ700/900-SL-27-086,Multi-Function Spoiler PCU P/N 51200-11 guidance,N,Reset procedure and Troubleshooting tips
